episode,score,avg_score,loss,epsilon
313,3,2.34,4.0833,0.2083
314,2,2.38,4.47,0.2072
315,2,2.28,4.6619,0.2062
316,4,2.34,4.5348,0.2052
317,3,2.38,4.8789,0.2041
318,2,2.42,4.4425,0.2031
319,0,2.22,7.9343,0.2021
320,5,2.32,4.6792,0.2011
321,1,2.32,4.1827,0.2001
322,1,2.32,4.3966,0.1991
323,1,2.28,6.1669,0.1981
324,3,2.34,5.1029,0.1971
325,3,2.4,5.7139,0.1961
326,3,2.46,6.3814,0.1951
327,2,2.5,5.5034,0.1942
328,1,2.42,4.4678,0.1932
329,1,2.42,4.3343,0.1922
330,5,2.5,5.0678,0.1913
331,0,2.46,4.0576,0.1903
332,5,2.54,4.2898,0.1893
333,6,2.62,5.49,0.1884
334,1,2.56,4.3778,0.1875
335,3,2.5,5.685,0.1865
336,0,2.42,4.9466,0.1856
337,4,2.5,5.2826,0.1847
338,9,2.5,5.126,0.1837
339,6,2.56,6.3819,0.1828
340,5,2.62,5.4131,0.1819
341,3,2.64,6.1144,0.181
342,2,2.62,6.9087,0.1801
343,2,2.66,7.25,0.1792
344,6,2.74,4.8769,0.1783
345,12,2.86,5.4816,0.1774
346,7,3.0,5.5443,0.1765
347,1,3.02,4.844,0.1756
348,5,3.04,5.0072,0.1748
349,1,3.02,4.7306,0.1739
350,0,2.96,4.6535,0.173
351,0,2.9,3.8004,0.1721
352,3,2.84,6.7494,0.1713
353,8,2.96,6.3816,0.1704
354,8,3.1,6.2376,0.1696
355,1,3.12,5.1655,0.1687
356,3,3.16,6.6463,0.1679
357,1,3.14,9.1856,0.167
358,2,3.1,6.4456,0.1662
359,2,3.12,5.9773,0.1654
360,4,3.14,6.3257,0.1646
361,6,3.24,4.7623,0.1637
362,0,3.16,6.4328,0.1629
363,4,3.18,5.0991,0.1621
364,9,3.32,6.4091,0.1613
365,1,3.3,7.7532,0.1605
366,0,3.22,5.1928,0.1597
367,7,3.3,5.7889,0.1589
368,1,3.28,5.113,0.1581
369,3,3.34,5.7635,0.1573
370,5,3.34,6.1308,0.1565
371,1,3.34,5.8018,0.1557
372,3,3.38,5.8661,0.1549
