episode,score,avg_score,loss,epsilon
336,17,12.92,17.5454,0.0078
337,12,12.7,17.6629,0.0078
338,21,12.86,14.6389,0.0078
339,11,12.94,17.5058,0.0078
340,15,13.02,15.5262,0.0078
341,12,12.92,17.6849,0.0078
342,14,13.14,15.1217,0.0078
343,5,12.84,16.566,0.0078
344,14,12.86,16.0115,0.0078
345,17,12.9,15.9069,0.0078
346,31,13.2,16.3467,0.0078
347,18,13.4,16.7994,0.0078
348,21,13.5,15.5911,0.0078
349,10,13.56,15.8034,0.0078
350,24,13.7,15.4233,0.0078
351,17,13.66,15.9632,0.0078
352,18,13.88,15.5248,0.0078
353,24,14.24,16.7132,0.0078
354,9,14.2,17.6249,0.0078
355,11,13.98,16.7668,0.0078
356,23,13.98,16.6826,0.0078
357,8,13.86,14.4977,0.0078
358,25,14.28,16.8359,0.0078
359,14,14.34,16.4581,0.0078
360,21,14.66,16.7327,0.0078
361,11,14.66,16.788,0.0078
362,10,14.56,15.1302,0.0078
363,15,14.46,17.6479,0.0078
364,20,14.84,16.2808,0.0078
365,10,15.02,15.9533,0.0078
366,26,15.24,17.2777,0.0078
367,5,15.0,16.7889,0.0078
368,13,14.9,17.8963,0.0078
369,13,15.06,18.9083,0.0078
370,29,15.34,16.588,0.0078
371,15,15.56,17.8059,0.0078
372,25,15.8,17.4982,0.0078
373,17,15.6,16.928,0.0078
374,15,15.64,17.7079,0.0078
375,16,15.66,16.7282,0.0078
376,29,16.04,16.5782,0.0078
377,17,16.1,15.5062,0.0078
378,9,15.74,16.807,0.0078
379,20,15.76,17.5695,0.0078
380,15,15.88,15.3565,0.0078
381,11,15.94,19.0343,0.0078
382,20,16.08,17.1604,0.0078
383,24,16.38,15.3145,0.0078
384,6,16.22,19.2608,0.0078
385,19,16.44,17.1463,0.0078
386,12,16.34,18.2715,0.0078
387,13,16.36,17.1879,0.0078
388,9,16.12,16.887,0.0078
389,20,16.3,18.0384,0.0078
390,9,16.18,16.0133,0.0078
391,15,16.24,16.2786,0.0078
392,19,16.34,17.5704,0.0078
393,19,16.62,16.416,0.0078
394,7,16.48,21.2153,0.0078
395,1,16.16,11.2279,0.0078
396,13,15.8,18.9374,0.0078
397,16,15.76,17.7266,0.0078
398,6,15.46,16.7754,0.0078
399,20,15.66,15.9327,0.0078
400,10,15.38,15.6244,0.0078
401,15,15.34,17.8232,0.0078
402,14,15.26,17.2469,0.0078
403,16,15.1,19.2062,0.0078
404,18,15.28,18.69,0.0078
405,22,15.5,17.529,0.0078
406,19,15.42,18.4017,0.0078
407,1,15.28,20.8186,0.0078
408,10,14.98,15.6039,0.0078
409,30,15.3,16.012,0.0078
410,17,15.22,16.5338,0.0078
411,21,15.42,18.2273,0.0078
412,20,15.62,17.6684,0.0078
413,3,15.38,14.0304,0.0078
414,28,15.54,20.0985,0.0078
415,7,15.48,17.3894,0.0078
416,17,15.3,17.7627,0.0078
417,8,15.36,17.3876,0.0078
418,3,15.16,17.4631,0.0078
419,16,15.22,16.2384,0.0078
420,17,14.98,19.4407,0.0078
421,21,15.1,17.9025,0.0078
422,9,14.78,15.4336,0.0078
423,8,14.6,15.854,0.0078
424,12,14.54,17.1658,0.0078
425,27,14.76,17.3792,0.0078
426,12,14.42,14.4786,0.0078
427,13,14.34,18.0627,0.0078
428,17,14.5,15.2304,0.0078
429,13,14.36,14.2186,0.0078
430,10,14.26,17.9636,0.0078
431,18,14.4,15.7673,0.0078
432,6,14.12,13.1034,0.0078
433,22,14.08,17.8636,0.0078
434,7,14.1,17.0581,0.0078
435,6,13.84,19.958,0.0078
436,11,13.82,18.3328,0.0078
437,24,14.04,16.9806,0.0078
438,8,14.02,17.9927,0.0078
439,17,13.96,15.3076,0.0078
